articleno,userid,subject,content,regtime,views
73,NULL,"[공지] 부동산을 구하는 새로운 자세, 부동산은 happy house부터","안녕하세요 Happy House입니다. No.1 부동산 앱 Happy House가 2021년 새로운 모습으로 여러분을 찾아갑니다!!","2021-11-24 03:26:28",0
74,NULL,"[홈라이브]-남윤수의 ‘차기집’ 풀스토리 최초공개!","올 9월 이사 예정이신 남윤수 님이 찾고 있는 집의 모습은 과연 어떤 모습일까요? 직방 홈라이브, 첫 번째 이야기의 주인공 남윤수 님의 로망의 집의 모습을 살짝 먼저 만나보시죠!","2021-11-24 03:26:28",0
75,NULL,"[공지] 2021.8 아파트 매매정보 업데이트","2021년 8월자 아파트트 매매정보 업데이트 하였습니다. 감사합니다.","2021-11-24 03:26:28",0
76,NULL,"[살아보기] 망원동 살아보기","한강공원이 가까이 있는 망원동에서 한번 살아보세요! 살아보는 기간 동안, 직방에서 보증금과 월세를 전액 지원합니다.","2021-11-24 03:26:28",0
77,NULL,"[모집] 제 1기 대학생 에디터를 모집합니다!","우리 동네를 너무 너무 사랑하고 막막 자랑하고 싶은 당신! 당신은 우리와 함께 갑시다! 지원해주세요!!!","2021-11-24 03:26:28",0
78,NULL,"[살아보기] 망원동 살아보기 신청방법은? ","살아보기 이벤트는 웹사이트를 통해서만 신청 가능합니다. 먼저, 웹사이트에 접속 후 로그인을 해주세요. 그리고 공지사항에 살아보기 글에 들어오면 신청 링크가 있습니다. ","2021-11-24 03:26:28",0
79,NULL,"[EVENT] 9월자 경품 이벤트 당첨자 발표","minjung[이민정]님 과 dongjae[장동재]님이 당첨되었습니다. 개별 연락 갈 예정입니다. 다음 이벤트도 많은 참여 부탁드립니다. 감사합니다.","2021-11-24 03:26:28",0
80,NULL,"[모집] 제 1기 대학생 에디터 결과 발표","개별 메일로 결과 전송해드렸습니다. 모두들 지원 감사합니다. 2기 선발때도 많은 지원 부탁드립니다.","2021-11-24 03:26:28",1
81,NULL,"[공지] 9월 긴급점검 안내","오늘(9/9) 오전 1시부터 오전 5시까지 긴급 서버 점검이 있을 예정입니다. 이용에 불편함을 드려 죄송합니다.  ","2021-11-24 03:26:28",0
82,NULL,"[공지] 2021.9 아파트 매매정보 업데이트","2021년 9월자 아파트 매매정보 업데이트 하였습니다. 감사합니다.","2021-11-24 03:26:28",0
83,NULL,"[모집] 제 2기 대학생 에디터를 모집합니다!","우리 동네를 너무 너무 사랑하고 막막 자랑하고 싶은 당신! 당신은 우리와 함께 갑시다! 지원해주세요!!!","2021-11-24 03:26:28",0
84,NULL,"[홈라이브] 박문치편 TV 광고 온에어","문치 님이 직접! ‘직방’으로 구했다는 ㅎㅎ 딱, 박문치스러운 뉴트로 하우스! 더 자세한 내부 모습과 박문치 님의 라이프가 궁금하시다면, 직방 홈라이브 – 박문치 편 풀 버전을 조금만 기다려 주세요!","2021-11-24 03:26:28",1
85,NULL,"[EVENT] 아파트 초성퀴즈 풀고 경품 받자!(~10/30)","유튜브 채널 구독하고 퀴즈 정답을 맞히면 추첨을 통해 총 200분께 맛있는 경품을 드립니다!​","2021-11-24 03:26:28",0
86,NULL,"[살아보기] 성수동 살아보기","오랜 세월과 새로운 트렌드가 어우러져 멋이 있는 동네, 성수동에서 한번 살아보실래요? 살아보는 기간 동안, 직방에서 보증금과 월세를 전액 지원합니다.","2021-11-24 03:26:28",0
87,NULL,"[살아보기] 성수동 살아보기 신청방법은? ","살아보기 이벤트는 웹사이트를 통해서만 신청 가능합니다. 먼저, 웹사이트에 접속 후 로그인을 해주세요. 그리고 공지사항에 살아보기 글에 들어오면 신청 링크가 있습니다. ","2021-11-24 03:26:28",0
88,NULL,"[모집] 제 2기 대학생 에디터 결과 발표","개별 메일로 결과 전송해드렸습니다. 모두들 지원 감사합니다. 3기 선발때도 많은 지원 부탁드립니다.","2021-11-24 03:26:28",300
89,NULL,"[공지] 10월 긴급점검 안내","오늘(10/9) 오전 1시부터 오전 5시까지 긴급 서버 점검이 있을 예정입니다. 이용에 불편함을 드려 죄송합니다.  ","2021-11-24 03:26:28",0
90,NULL,"[EVENT] 10월자 경품 이벤트 당첨자 발표","ayun[심아윤]님 과 hyeji[김혜지]님이 당첨되었습니다. 개별 연락 갈 예정입니다. 다음 이벤트도 많은 참여 부탁드립니다. 감사합니다.","2021-11-24 03:26:28",200
91,NULL,"[살아보기] 연남동 살아보기","감성 카페와 맛집이 많은 연남동에서 한번 살아보세요! 살아보는 기간 동안, 직방에서 보증금과 월세를 전액 지원합니다.","2021-11-24 03:26:28",150
92,NULL,"[EVENT] 아파트 초성퀴즈 풀고 경품 받자!(~11/30)","유튜브 채널 구독하고 퀴즈 정답을 맞히면 추첨을 통해 총 200분께 맛있는 경품을 드립니다!​","2021-11-24 03:26:28",0
93,NULL,"[공지] 2021.10 아파트 매매정보 업데이트","2021년 10월자 아파트 매매정보 업데이트 하였습니다. 감사합니다.","2021-11-25 03:26:28",0
